tag;name;r;g;b;money
COI;Coixtlahuaca;58;18;220;100
TEO;Teotitlan;213;128;46;100
XAL;Xalisco;98;49;221;100
GAM;Guamar;228;49;121;100
HST;Huastec;64;236;91;100
CCM;Chichimeca;248;229;21;100
OTO;Otomi;68;127;241;100
YOK;Yokotan;64;106;191;100
LAC;Lacandon;224;236;191;100
KAQ;Kaqchikel;75;136;191;100
CTM;Chactemal;194;86;91;100
KER;Keres;162;28;58;100
ZNI;Zuni;62;128;108;100
MSC;Mescalero;218;158;79;100
LIP;Lipan;98;58;109;100
CHT;Chorti;94;96;11;100
MIS;Miskito;74;136;241;100
TAI;Tairona;114;36;222;100
CNP;Can Pech;134;136;21;100
TON;Tonallan;98;149;121;100
YAQ;Yaqui;127;32;49;100
YKT;Yokuts;172;232;149;100
NSS;New Providence;66;51;70;100
PRY;Port Royal;151;47;32;100
TOR;Tortuga;67;81;55;100
LIB;Libertatia;242;249;255;100
UBV;Munich;19;102;152;100
LBV;Landshut;35;220;240;100
ING;Ingolstadt;67;163;215;100
PSS;Passau;239;99;135;100
MBZ;Montfort-Bregenz;101;189;23;100
KNZ;Konstanz;255;133;59;100
ROT;Rothenburg;210;15;15;100
BYT;Bayreuth;210;210;38;100
REG;Regensburg;221;41;111;100
GNV;Geneva;255;250;138;100
TTL;Three Leagues;153;240;182;100
OPL;Opole;117;140;36;100
GLG;Glogau;5;171;147;100
BLG;Bologna;236;95;0;100
PDV;Padova;186;106;58;100
SZO;Saluzzo;137;185;203;100
SPL;Spoleto;169;26;5;100
WOL;Wolgast;235;178;18;100
STE;Stettin;33;119;58;100
GOS;Goslar;88;45;148;100
SOR;Sorbia;67;80;128;100
RUG;Rugen;51;59;76;100
CLI;Cilli;159;174;96;100
HRZ;Herzegovina;72;113;160;100
TNT;Trent;148;122;151;100
BRG;Berg;240;205;140;100
MLH;Mulhouse;155;170;136;100
BAM;Bamberg;200;219;195;100
RUP;Ruppin;136;48;66;100
LPP;Lippe;21;83;149;100
PAD;Paderborn;214;90;79;100
CLB;Calenberg;239;162;53;100
DWT;Donauwoerth;80;201;64;100
OSN;Osnabruck;135;138;192;100
VRN;Verona;121;163;114;100
COB;Coburg;71;201;101;100
LOT;Lotharingia;95;106;207;100
PGA;Perugia;157;174;219;100
TTS;Two Sicilies;154;153;157;100
FKN;Franconia;89;128;68;100
SWA;Swabia;225;98;87;100
BNE;Bone;144;86;70;100
BEU;Berau;122;116;124;100
SMB;Sambas;255;89;4;100
BRS;Barus;201;33;53;100
DLI;Deli;68;94;85;100
JMB;Jambi;223;228;192;100
PAH;Pahang;98;186;171;100
KEL;Kelantan;123;3;9;100
IND;Indrapura;210;190;252;100
JAR;Jarai;199;244;188;100
RHA;Rhade;218;113;11;100
KOH;Koho;194;125;201;100
SIA;Siam;89;194;221;100
TIW;Tiwi;55;135;17;100
LAR;Larrakia;221;183;68;100
YOL;Yolngu;120;85;160;100
YNU;Yanuwa;230;145;62;100
AWN;Awngthim;137;69;69;100
GMI;Gamilaraay;59;148;111;100
MIA;Mianjin;148;88;59;100
EOR;Eora;243;155;75;100
KUL;Kulin;32;35;117;100
KAU;Kaurna;190;75;30;100
PLW;Palawa;102;75;50;100
WRU;Wurundjeri;101;138;42;100
NOO;Noongar;173;177;51;100
MLG;Malagana;191;185;93;100
AOT;Aotearoa;120;16;0;100
MAA;Mataatua;225;190;190;100
TAN;Tainui;110;50;50;100
TAK;Takitimu;145;218;120;100
TNK;Taranaki;235;190;110;100
TEA;TeArawa;200;215;130;100
TTT;TeTaiTokerau;162;0;130;100
WAI;Waitaha;200;200;200;100
UHW;HawaiiUnited;180;215;145;100
HAW;Hawaii;255;135;80;100
MAU;Maui;65;140;60;100
OAH;Oahu;150;130;65;100
KAA;Kauai;190;90;90;100
TOG;Tonga;225;200;95;100
SAM;Samoa;100;55;55;100
VIT;Viti;130;180;215;100
VIL;Viti Levu;240;160;100;100
VNL;Vanua Levu;195;90;135;100
LAI;Lau;250;220;180;100
ALT;Altamaha;197;28;148;100
ICH;Ichisi;233;52;243;100
COF;Cofitachequi;188;102;110;100
JOA;Joara;1;148;8;100
ETO;Etowah;80;51;215;100
SAT;Satapo;172;105;47;100
CIA;Chiaha;148;104;197;100
COO;Coosa;42;246;88;100
ABI;Abihka;18;139;228;100
COW;Coweta;18;39;184;100
NTZ;Natchez;156;43;172;100
CAQ;Casqui;70;31;179;100
PCH;Pacaha;151;71;197;100
QUI;Quizquiz;31;239;121;100
CCA;Chisca;111;79;4;100
ATA;Atahachi;91;112;207;100
KSI;Kasihta;75;162;171;100
OEO;Oneota;129;31;64;100
ANL;Anilco;83;30;157;100
NTC;Natchitoches;49;182;135;100
HNI;Hasinai;171;192;31;100
MOH;Mohawk;244;151;42;100
ONE;Oneida;79;44;187;100
ONO;Onondaga;107;77;63;100
CAY;Cayuga;44;63;182;100
SEN;Seneca;189;153;176;100
TAH;Tahontaenrat;59;57;118;100
ATT;Attignawantan;61;248;196;100
AGG;Attigneenongnahac;216;184;43;100
ATW;Attiwandaron;110;167;103;100
ARN;Arendaronon;78;139;60;100
TIO;Tionontate;94;181;212;100
OSH;Osheaga;134;175;31;100
STA;Stadacona;92;235;29;100
ERI;Erie;44;220;23;100
WEN;Wenro;220;130;127;100
TSC;Tuscarora;61;126;252;100
OHK;Ohkay Owingeh;187;127;34;100
ISL;Isleta;244;232;188;100
ACO;Acoma;114;145;117;100
CAO;Cahokia;59;15;49;100
PEO;Peoria;67;18;187;100
KSK;Kaskaskia;246;129;104;100
PEN;Penobscot;1;90;168;100
MLS;Maliseet;151;95;19;100
NEH;Nehiyaw;105;30;41;100
NAK;Nakawe;229;93;20;100
HWK;Hathawekela;164;220;134;100
CLG;Chalahgawtha;195;18;152;100
KSP;Kispoko;163;43;202;100
MSG;Mississage;238;173;101;100
WCY;Wichiyena;91;72;141;100
LAK;Lakota;19;27;81;100
INN;Innu;8;64;6;100
WAM;Wampanoag;95;5;210;100
AGQ;Algonquin;4;162;77;100
JMN;Jan Mayen;65;55;188;100
ROM;RomanEmpire;167;10;100;100
SYN;Synthetics;64;64;64;100
ISR;Israel;20;138;255;100
