id;territory_type;r;g;b;name;owner
778;land;228;67;146;NONE;NONE
779;land;185;101;47;NONE;NONE
780;land;221;92;249;NONE;NONE
781;land;194;116;157;NONE;MNG
782;land;32;12;171;NONE;EGY
783;land;236;61;64;NONE;NONE
784;land;255;94;53;NONE;ARA
785;land;190;113;187;NONE;NAP
786;land;80;255;151;NONE;NONE
787;land;206;23;92;NONE;DLI
788;land;142;57;238;NONE;EGY
789;land;137;23;26;NONE;MAG
790;land;5;180;202;NONE;NONE
791;land;18;233;80;NONE;EGY
792;land;205;149;120;NONE;NONE
793;land;147;165;56;NONE;NONE
794;land;249;111;113;NONE;TUR
795;land;201;162;6;NONE;FRA
796;land;55;117;175;NONE;NONE
797;land;254;86;90;NONE;NONE
798;land;120;80;56;NONE;TIM
799;land;117;114;233;NONE;INC
800;land;19;87;145;NONE;NONE
801;land;124;20;24;NONE;NONE
802;land;99;255;167;NONE;HUN
803;land;219;139;255;NONE;LIV
804;land;108;216;114;NONE;MOS
805;land;70;3;44;NONE;NONE
806;land;117;117;198;NONE;AUG
807;land;145;179;152;NONE;NONE
808;land;216;109;115;NONE;NONE
809;land;91;179;18;NONE;NONE
810;land;31;102;6;NONE;NONE
811;land;31;201;109;NONE;HAM
812;land;192;148;163;NONE;NONE
813;land;111;70;254;NONE;NONE
814;land;61;131;118;NONE;NONE
815;land;243;163;114;NONE;NONE
816;land;51;181;179;NONE;NONE
817;land;184;13;143;NONE;ARA
818;land;165;7;60;NONE;TUR
819;land;190;70;235;NONE;POL
820;land;169;206;159;NONE;HAB
821;land;59;230;45;NONE;NONE
822;land;183;126;149;NONE;CRI
823;land;3;135;251;NONE;NONE
824;land;219;178;220;NONE;DAN
825;land;97;49;42;NONE;EGY
826;land;229;102;191;NONE;SCO
827;land;19;209;250;NONE;NONE
828;land;44;12;90;NONE;CRI
829;land;204;134;149;NONE;QAR
830;land;48;86;166;NONE;NONE
831;land;44;159;81;NONE;GOL
832;land;177;254;40;NONE;TIM
833;land;29;139;199;NONE;NONE
834;land;248;102;191;NONE;NONE
835;land;176;219;38;NONE;NONE
836;land;104;22;109;NONE;NONE
837;land;113;168;234;NONE;TIM
838;land;50;247;25;NONE;ENG
839;land;201;120;207;NONE;NONE
840;land;57;246;145;NONE;GEO
841;land;220;117;210;NONE;BRB
842;land;102;141;138;NONE;HUN
843;land;241;247;187;NONE;NOG
844;land;100;169;11;NONE;MNG
845;land;83;133;46;NONE;SCO
846;land;119;208;141;NONE;CAS
847;land;57;88;208;NONE;NONE
848;land;14;140;193;NONE;INC
849;land;238;158;201;NONE;NONE
850;land;107;28;154;NONE;NONE
851;land;73;209;138;NONE;NONE
852;land;54;164;86;NONE;TIM
853;land;38;149;238;NONE;NONE
854;land;14;213;9;NONE;NONE
855;land;236;252;121;NONE;MNG
856;land;106;62;197;NONE;TFL
857;land;251;71;249;NONE;NONE
858;land;39;237;38;NONE;LIT
859;land;4;19;79;NONE;ULM
860;land;229;216;125;NONE;MNG
861;land;214;223;252;NONE;CIR
862;land;222;185;42;NONE;NONE
863;land;166;195;117;NONE;NONE
864;land;161;69;228;NONE;INC
865;land;22;219;24;NONE;GOL
866;land;204;79;114;NONE;ENG
867;land;152;126;73;NONE;NONE
868;land;98;111;41;NONE;NONE
869;land;150;141;63;NONE;DLI
870;land;237;19;96;NONE;DLI
871;land;2;4;94;NONE;MNG
872;land;219;254;230;NONE;NONE
873;land;78;237;195;NONE;NONE
874;land;151;149;250;NONE;INC
875;land;251;93;230;NONE;NONE
876;land;122;114;247;NONE;NONE
877;land;239;71;43;NONE;NONE
878;land;255;123;23;NONE;LIT
879;land;67;129;116;NONE;EGY
880;land;192;44;255;NONE;NONE
881;land;90;68;240;NONE;ENG
882;land;116;163;240;NONE;NONE
883;land;231;154;159;NONE;TIM
884;land;119;132;90;NONE;NONE
885;land;65;238;63;NONE;NOG
886;land;253;125;184;NONE;NONE
887;land;215;204;69;NONE;NONE
888;land;178;100;207;NONE;NONE
889;land;100;25;114;NONE;FRA
890;land;20;101;8;NONE;NONE
891;land;181;218;146;NONE;NONE
892;land;168;45;137;NONE;GOL
893;land;142;151;144;NONE;FRA
894;land;112;20;131;NONE;NONE
895;land;135;159;220;NONE;NONE
896;land;130;224;81;NONE;INC
897;land;73;167;37;NONE;NONE
898;land;39;251;227;NONE;LIT
899;land;148;208;144;NONE;SWI
900;land;153;1;129;NONE;NONE
901;land;165;185;144;NONE;TUR
902;land;190;51;210;NONE;DLI
903;land;200;32;218;NONE;NONE
904;land;244;74;81;NONE;NONE
905;land;147;245;146;NONE;TUR
906;land;169;241;218;NONE;NONE
907;land;119;171;127;NONE;WUR
908;land;172;144;33;NONE;QAR
909;land;11;171;159;NONE;ENG
910;land;219;70;105;NONE;MAL
911;land;186;113;61;NONE;MOL
912;land;136;253;149;NONE;JAP
913;land;47;62;89;NONE;NONE
914;land;217;185;139;NONE;NONE
915;land;223;45;156;NONE;NONE
916;land;211;47;168;NONE;WAL
917;land;234;55;216;NONE;NONE
918;land;192;67;215;NONE;NONE
919;land;99;243;40;NONE;DLI
920;land;139;98;225;NONE;NONE
921;land;62;68;151;NONE;NONE
922;land;240;107;21;NONE;LIT
923;land;193;252;216;NONE;BRU
924;land;183;226;143;NONE;MNG
925;land;83;237;18;NONE;POL
926;land;182;110;70;NONE;NONE
927;land;164;212;132;NONE;NONE
928;land;22;90;1;NONE;NONE
929;land;76;64;139;NONE;NONE
930;land;32;84;120;NONE;NONE
931;land;210;116;239;NONE;AZT
932;land;53;232;62;NONE;NONE
933;land;187;16;182;NONE;KHA
934;land;169;83;173;NONE;NONE
935;land;243;64;232;NONE;NONE
936;land;197;79;8;NONE;HOL
937;land;175;104;24;NONE;LIV
938;land;58;207;26;NONE;QAR
939;land;20;244;137;NONE;EGY
940;land;164;124;247;NONE;ETH
941;land;45;127;84;NONE;NOV
942;land;236;89;200;NONE;TUR
943;land;170;235;15;NONE;NONE
944;land;82;101;131;NONE;MNG
945;land;202;129;8;NONE;NONE
946;land;135;70;88;NONE;VEN
947;land;1;103;219;NONE;POR
948;land;165;161;221;NONE;NONE
949;land;91;137;210;NONE;NONE
950;land;222;82;130;NONE;NONE
951;land;212;199;137;NONE;TUR
952;land;134;49;85;NONE;NONE
953;land;214;63;247;NONE;NOG
954;land;227;127;95;NONE;NONE
955;land;10;52;110;NONE;MNG
956;land;115;112;78;NONE;QAR
957;land;155;98;173;NONE;NONE
958;land;91;151;110;NONE;TUR
959;land;72;156;221;NONE;NONE
960;land;100;14;222;NONE;NONE
961;land;40;114;220;NONE;NONE
962;land;59;75;153;NONE;NONE
963;land;28;69;228;NONE;NONE
964;land;69;107;149;NONE;NONE
965;land;136;13;83;NONE;NONE
966;land;200;84;212;NONE;NONE
967;land;54;121;9;NONE;NONE
968;land;103;198;41;NONE;DLI
969;land;82;223;206;NONE;WUR
970;land;108;242;138;NONE;KHA
971;land;54;25;93;NONE;BUR
972;land;44;198;109;NONE;NONE
973;land;69;107;165;NONE;BUR
974;land;160;170;73;NONE;NOV
975;land;217;90;80;NONE;NONE
976;land;47;185;253;NONE;NONE
977;land;209;151;206;NONE;NONE
978;land;53;147;212;NONE;NONE
979;land;218;85;122;NONE;HAB
980;land;78;163;29;NONE;NOR
981;land;136;120;26;NONE;NONE
982;land;169;120;193;NONE;TIM
983;land;90;132;223;NONE;POM
984;land;63;49;184;NONE;NONE
985;land;169;63;152;NONE;NONE
986;land;137;12;227;NONE;NONE
987;land;37;212;91;NONE;SWE
988;land;5;127;250;NONE;NONE
989;land;207;127;249;NONE;NONE
990;land;240;30;252;NONE;NONE
991;land;128;178;239;NONE;NONE
992;land;5;163;234;NONE;NONE
993;land;152;49;145;NONE;TIM
994;land;241;118;44;NONE;MNG
995;land;211;24;152;NONE;KHA
996;land;193;46;72;NONE;NONE
997;land;195;139;72;NONE;EGY
998;land;174;179;86;NONE;NONE
999;land;208;199;44;NONE;NONE
1000;land;52;133;217;NONE;NONE
1001;land;231;156;209;NONE;NONE
1002;land;154;97;198;NONE;TIM
1003;land;75;48;149;NONE;DMS
1004;land;186;0;30;NONE;KHA
1005;land;110;21;245;NONE;NOR
1006;land;132;86;49;NONE;NONE
1007;land;13;18;183;NONE;NONE
1008;land;91;42;123;NONE;NONE
1009;land;186;14;155;NONE;NONE
1010;land;177;24;171;NONE;LIT
1011;land;73;72;20;NONE;NONE
1012;land;190;78;34;NONE;NONE
1013;land;36;203;119;NONE;KHA
1014;land;151;111;117;NONE;NOV
1015;land;144;92;82;NONE;NONE
1016;land;164;58;226;NONE;NONE
1017;land;252;235;107;NONE;NONE
1018;land;228;152;32;NONE;NONE
1019;land;86;55;20;NONE;NONE
1020;land;218;148;209;NONE;NONE
1021;land;44;95;122;NONE;NONE
1022;land;223;0;92;NONE;NONE
1023;land;67;86;170;NONE;KHA
1024;land;143;82;224;NONE;FRA
1025;land;188;210;164;NONE;NONE
1026;land;158;43;154;NONE;EGY
1027;land;158;7;9;NONE;NONE
1028;land;149;208;232;NONE;NONE
1029;land;142;214;31;NONE;MNG
1030;land;94;60;182;NONE;NOV
1031;land;229;177;223;NONE;MNG
1032;land;109;224;158;NONE;TIB
1033;land;153;212;104;NONE;FRA
1034;land;155;250;209;NONE;INC
1035;land;50;81;209;NONE;QAR
1036;land;96;75;0;NONE;NONE
1037;land;101;82;245;NONE;NONE
1038;land;114;83;98;NONE;NONE
1039;land;133;222;25;NONE;DLI
1040;land;77;212;25;NONE;MNG
1041;land;225;230;82;NONE;INC
1042;land;192;91;1;NONE;NONE
1043;land;172;42;73;NONE;KHA
1044;land;68;3;204;NONE;NONE
1045;land;182;217;60;NONE;INC
1046;land;5;22;123;NONE;LIT
1047;land;34;141;210;NONE;NONE
1048;land;185;186;237;NONE;NONE
1049;land;240;66;207;NONE;KHA
1050;land;87;127;252;NONE;TIB
1051;land;24;197;5;NONE;JAP
1052;land;164;72;66;NONE;NOG
1053;land;74;216;142;NONE;NONE
1054;land;74;6;154;NONE;NONE
1055;land;117;204;117;NONE;NONE
1056;land;171;235;40;NONE;NONE
1057;land;215;102;77;NONE;PAP
1058;land;254;11;105;NONE;NONE
1059;land;164;115;145;NONE;INC
1060;land;23;252;133;NONE;NONE
1061;land;249;157;31;NONE;DLI
1062;land;217;167;173;NONE;HUN
1063;land;108;246;88;NONE;TUR
1064;land;207;66;104;NONE;KOR
1065;land;236;255;104;NONE;AZT
1066;land;245;106;192;NONE;SAV
1067;land;12;235;189;NONE;KOR
1068;land;20;208;206;NONE;MNG
1069;land;138;254;110;NONE;NONE
1070;land;33;57;182;NONE;HES
1071;land;184;61;40;NONE;NONE
1072;land;201;132;151;NONE;LIV
1073;land;112;83;242;NONE;NONE
1074;land;134;255;74;NONE;NONE
1075;land;229;201;64;NONE;NONE
1076;land;120;94;238;NONE;NONE
1077;land;185;236;210;NONE;TEU
1078;land;228;229;222;NONE;LIT
1079;land;26;241;107;NONE;JAP
1080;land;155;232;208;NONE;SWE
1081;land;147;114;254;NONE;DLI
1082;land;151;177;3;NONE;MOL
1083;land;133;103;53;NONE;NONE
1084;land;56;215;242;NONE;TRY
1085;land;143;218;125;NONE;MOS
1086;land;185;213;69;NONE;NONE
1087;land;127;124;52;NONE;NONE
1088;land;24;145;83;NONE;DLI
1089;land;46;24;225;NONE;HUN
1090;land;73;173;122;NONE;BOH
1091;land;154;19;101;NONE;KHA
1092;land;248;5;181;NONE;GOL
1093;land;221;191;27;NONE;NONE
1094;land;182;187;241;NONE;NONE
1095;land;7;117;111;NONE;QAR
1096;land;140;246;186;NONE;POR
1097;land;20;118;166;NONE;ENG
1098;land;129;132;169;NONE;QAR
1099;land;55;14;207;NONE;MNG
1100;land;119;49;240;NONE;INC
1101;land;55;227;147;NONE;TIM
1102;land;97;139;224;NONE;NONE
1103;land;108;58;33;NONE;NONE
1104;land;231;18;1;NONE;NOR
1105;land;246;167;238;NONE;NONE
1106;land;75;200;235;NONE;MOR
1107;land;196;187;123;NONE;NONE
1108;land;221;110;0;NONE;DLI
1109;land;153;112;212;NONE;NONE
1110;land;186;124;227;NONE;JAP
1111;land;214;219;254;NONE;NONE
1112;land;53;150;108;NONE;ENG
1113;land;204;249;130;NONE;NONE
1114;land;45;41;231;NONE;NONE
1115;land;4;59;104;NONE;NONE
1116;land;51;239;170;NONE;NONE
1117;land;202;169;226;NONE;MOR
1118;land;239;96;253;NONE;GOL
1119;land;221;183;11;NONE;BUR
1120;land;162;74;105;NONE;QAR
1121;land;55;32;86;NONE;NONE
1122;land;202;255;86;NONE;NONE
1123;land;66;97;116;NONE;NONE
1124;land;225;46;17;NONE;NONE
1125;land;152;249;179;NONE;NONE
1126;land;61;56;190;NONE;NONE
1127;land;33;211;47;NONE;NONE
1128;land;149;231;105;NONE;NONE
1129;land;216;124;120;NONE;NONE
1130;land;147;58;166;NONE;NONE
1131;land;95;165;61;NONE;MNG
1132;land;211;19;248;NONE;EGY
1133;land;246;108;30;NONE;AZT
1134;land;179;133;231;NONE;NONE
1135;land;221;183;72;NONE;SAX
1136;land;122;249;153;NONE;NONE
1137;land;216;39;246;NONE;LIT
1138;land;108;141;224;NONE;POL
1139;land;79;169;198;NONE;NONE
1140;land;213;33;59;NONE;KHA
1141;land;184;45;202;NONE;MNG
1142;land;57;12;16;NONE;KHA
1143;land;77;213;173;NONE;NONE
1144;land;117;191;69;NONE;NONE
1145;land;34;112;26;NONE;KHA
1146;land;39;106;29;NONE;NONE
1147;land;72;157;233;NONE;KLE
1148;land;5;244;129;NONE;NONE
1149;land;247;151;172;NONE;BRI
1150;land;233;120;247;NONE;MNG
1151;land;176;192;53;NONE;SCO
1152;land;213;58;66;NONE;KHA
1153;land;3;45;117;NONE;FRA
1154;land;37;117;166;NONE;TIM
1155;land;94;103;216;NONE;NONE
1156;land;64;212;126;NONE;NONE
1157;land;80;184;246;NONE;NONE
1158;land;173;17;238;NONE;NONE
1159;land;102;222;94;NONE;NONE
1160;land;92;40;140;NONE;NONE
1161;land;94;185;43;NONE;NONE
1162;land;249;104;249;NONE;LIT
1163;land;160;66;5;NONE;KHA
1164;land;65;181;132;NONE;NONE
1165;land;179;180;112;NONE;KHA
1166;land;12;241;52;NONE;BRB
1167;land;113;177;150;NONE;INC
1168;land;95;111;202;NONE;NONE
1169;land;232;44;17;NONE;NONE
1170;land;153;49;17;NONE;KHA
1171;land;236;164;143;NONE;NONE
1172;land;251;227;46;NONE;NONE
1173;land;53;159;81;NONE;TUR
1174;land;174;132;47;NONE;NONE
1175;land;139;183;120;NONE;NONE
1176;land;115;205;65;NONE;NONE
1177;land;155;47;21;NONE;MAL
1178;land;102;19;127;NONE;ETH
1179;land;110;75;15;NONE;MNG
1180;land;99;148;69;NONE;NONE
1181;land;204;89;53;NONE;KHA
1182;land;122;194;180;NONE;NONE
1183;land;40;44;141;NONE;TUR
1184;land;18;165;103;NONE;CRI
1185;land;189;184;201;NONE;SHL
1186;land;192;220;223;NONE;NONE
1187;land;28;216;118;NONE;KHA
1188;land;84;39;205;NONE;EGY
1189;land;126;214;40;NONE;NONE
1190;land;157;123;126;NONE;NONE
1191;land;25;32;248;NONE;NONE
1192;land;19;218;139;NONE;NONE
1193;land;252;40;75;NONE;ETH
1194;land;241;127;61;NONE;NONE
1195;land;201;243;25;NONE;NONE
1196;land;155;22;189;NONE;NONE
1197;land;3;150;89;NONE;CAS
1198;land;144;95;17;NONE;KHA
1199;land;150;249;80;NONE;NONE
1200;land;182;147;119;NONE;BYZ
1201;land;232;113;3;NONE;MAL
1202;land;175;11;160;NONE;TIB
1203;land;250;15;58;NONE;TIB
1204;land;175;175;197;NONE;MNG
1205;land;22;205;80;NONE;TIM
1206;land;59;44;10;NONE;NONE
1207;land;156;45;88;NONE;KOR
1208;land;177;122;121;NONE;TEU
1209;land;98;79;12;NONE;NONE
1210;land;37;83;71;NONE;LIT
1211;land;221;118;124;NONE;TIM
1212;land;19;73;141;NONE;NONE
1213;land;14;145;181;NONE;NONE
1214;land;95;246;232;NONE;NONE
1215;land;47;9;32;NONE;MKL
1216;land;64;21;132;NONE;KHA
1217;land;114;129;52;NONE;TIB
1218;land;97;131;42;NONE;NONE
1219;land;240;161;229;NONE;ETH
1220;land;117;160;251;NONE;ALB
1221;land;77;206;35;NONE;NONE
1222;land;75;10;138;NONE;AAC
1223;land;9;34;218;NONE;NONE
1224;land;72;85;12;NONE;NONE
1225;land;116;146;115;NONE;NONE
1226;land;10;104;18;NONE;CAS
1227;land;243;114;174;NONE;NONE
1228;land;222;116;136;NONE;NONE
1229;land;88;73;126;NONE;DLI
1230;land;108;24;141;NONE;NONE
1231;land;107;255;31;NONE;NONE
1232;land;66;249;237;NONE;MNG
1233;land;57;148;93;NONE;ENG
1234;land;250;250;252;NONE;NONE
1235;land;96;45;40;NONE;TUR
1236;land;177;159;58;NONE;LBV
1237;land;246;128;238;NONE;NONE
1238;land;152;239;29;NONE;NONE
1239;land;210;145;129;NONE;NONE
1240;land;76;14;57;NONE;NONE
1241;land;194;187;128;NONE;LIV
1242;land;121;52;150;NONE;NONE
1243;land;60;34;161;NONE;POL
1244;land;82;219;74;NONE;NONE
1245;land;239;209;124;NONE;INC
1246;land;217;159;56;NONE;NOR
1247;land;219;65;146;NONE;HUN
1248;land;171;38;221;NONE;MNG
1249;land;82;0;183;NONE;PRO
1250;land;149;172;246;NONE;NONE
1251;land;183;75;251;NONE;KHA
1252;land;171;10;240;NONE;NONE
1253;land;66;185;78;NONE;NONE
1254;land;137;70;210;NONE;NONE
1255;land;139;11;166;NONE;DLI
1256;land;121;81;116;NONE;NONE
1257;land;27;7;113;NONE;KHA
1258;land;1;183;81;NONE;INC
1259;land;170;1;153;NONE;POL
1260;land;158;115;7;NONE;AZT
1261;land;207;78;255;NONE;KHA
1262;land;203;245;121;NONE;TUN
1263;land;148;89;206;NONE;NONE
1264;land;247;240;239;NONE;GOL
1265;land;92;120;14;NONE;TUR
1266;land;192;182;160;NONE;NONE
1267;land;155;14;100;NONE;MNG
1268;land;210;237;75;NONE;MAI
1269;land;68;102;117;NONE;EGY
1270;land;48;244;17;NONE;DLI
1271;land;93;232;189;NONE;STY
1272;land;195;130;82;NONE;SWE
1273;land;227;177;37;NONE;NONE
1274;land;56;114;28;NONE;NONE
1275;land;94;21;226;NONE;NONE
1276;land;130;25;106;NONE;NONE
1277;land;190;62;98;NONE;ARA
1278;land;175;145;131;NONE;FRA
1279;land;28;185;162;NONE;DLI
1280;land;177;244;210;NONE;JAP
1281;land;18;213;181;NONE;LIV
1282;land;99;189;101;NONE;NONE
1283;land;220;144;81;NONE;NONE
1284;land;34;55;59;NONE;NONE
1285;land;18;65;234;NONE;INC
1286;land;126;34;186;NONE;NONE
1287;land;48;156;192;NONE;NONE
1288;land;6;90;147;NONE;MOS
1289;land;112;37;10;NONE;NONE
1290;land;148;161;46;NONE;NONE
1291;land;73;72;61;NONE;NONE
1292;land;163;185;11;NONE;NONE
1293;land;99;253;43;NONE;MOS
1294;land;43;0;169;NONE;TIB
1295;land;28;66;181;NONE;NONE
1296;land;168;60;143;NONE;NONE
1297;land;82;125;19;NONE;NONE
1298;land;180;93;79;NONE;NONE
1299;land;18;89;104;NONE;NONE
1300;land;130;235;146;NONE;AZT
1301;land;23;7;61;NONE;NONE
1302;land;126;130;239;NONE;NONE
1303;land;145;169;194;NONE;NONE
1304;land;250;57;191;NONE;NONE
1305;land;153;254;252;NONE;NONE
1306;land;254;22;230;NONE;NONE
1307;land;44;187;131;NONE;NONE
1308;land;155;224;210;NONE;NONE
1309;land;172;36;82;NONE;HAB
1310;land;126;44;17;NONE;NONE
1311;land;255;185;63;NONE;NONE
1312;land;5;48;40;NONE;SWE
1313;land;172;85;60;NONE;NONE
1314;land;11;69;7;NONE;FRA
1315;land;94;191;1;NONE;GOL
1316;land;204;132;133;NONE;NONE
1317;land;145;139;154;NONE;LIV
1318;land;46;236;117;NONE;KNZ
1319;land;116;26;22;NONE;NONE
1320;land;111;68;231;NONE;TUR
1321;land;113;227;188;NONE;FRA
1322;land;76;126;198;NONE;DLI
1323;land;0;176;102;NONE;NONE
1324;land;11;57;150;NONE;NOV
1325;land;199;254;143;NONE;NONE
1326;land;36;151;111;NONE;BUR
1327;land;126;14;76;NONE;MNG
1328;land;209;103;215;NONE;FRA
1329;land;104;0;152;NONE;NONE
1330;land;23;141;75;NONE;TUN
1331;land;80;177;25;NONE;NONE
1332;land;43;242;49;NONE;DLI
1333;land;87;104;239;NONE;SWE
1334;land;28;249;106;NONE;NONE
1335;land;131;109;40;NONE;NONE
1336;land;83;74;83;NONE;NONE
1337;land;139;224;186;NONE;TIM
1338;land;95;167;101;NONE;FRN
1339;land;202;212;252;NONE;NONE
1340;land;9;117;123;NONE;INC
1341;land;89;24;107;NONE;NONE
1342;land;102;253;39;NONE;LIT
1343;land;205;31;223;NONE;SAX
1344;land;5;66;228;NONE;NONE
1345;land;165;213;139;NONE;NONE
1346;land;86;230;222;NONE;NONE
1347;land;61;21;101;NONE;HAB
1348;land;200;218;49;NONE;NONE
1349;land;162;66;204;NONE;NONE
1350;land;73;129;185;NONE;NONE
1351;land;83;101;119;NONE;NONE
1352;land;222;163;67;NONE;NONE
1353;land;209;118;26;NONE;NONE
1354;land;253;123;37;NONE;TIB
1355;land;107;115;82;NONE;NOG
1356;land;141;34;76;NONE;CRO
1357;land;99;64;53;NONE;LIT
1358;land;65;178;254;NONE;NONE
1359;land;167;62;123;NONE;HAB
1360;land;87;10;27;Granada;GRA
1361;land;228;116;95;NONE;NONE
1362;land;71;168;23;NONE;BOH
1363;land;203;120;44;NONE;NONE
1364;land;9;210;230;NONE;TUR
1365;land;16;45;70;NONE;NOG
1366;land;54;214;205;NONE;NONE
1367;land;240;62;167;NONE;NONE
1368;land;187;130;162;NONE;INC
1369;land;139;8;116;NONE;NONE
1370;land;200;44;142;NONE;NONE
1371;land;227;67;11;NONE;NONE
1372;land;248;37;80;NONE;NONE
1373;land;62;35;93;NONE;NONE
1374;land;49;238;188;NONE;KHA
1375;land;17;34;127;NONE;NONE
1376;land;63;91;204;NONE;MAL
1377;land;172;118;38;NONE;EGY
1378;land;96;81;168;NONE;NONE
1379;land;112;141;97;NONE;NONE
1380;land;125;232;244;NONE;KHA
1381;land;70;202;31;NONE;MNG
1382;land;254;249;50;NONE;SIL
1383;land;57;183;109;NONE;NONE
1384;land;243;86;70;NONE;MNG
1385;land;94;122;240;NONE;DLI
1386;land;149;121;146;NONE;NONE
1387;land;182;3;218;NONE;KHA
1388;land;160;21;156;NONE;NONE
1389;land;58;246;216;NONE;NONE
1390;land;205;206;199;NONE;NONE
1391;land;152;105;198;NONE;NONE
1392;land;101;100;33;NONE;NONE
1393;land;16;213;62;NONE;HAB
1394;land;16;146;232;NONE;NONE
1395;land;23;26;252;NONE;SWE
1396;land;198;100;2;NONE;TUR
1397;land;222;150;129;NONE;NONE
1398;land;64;16;88;NONE;NONE
1399;land;187;142;14;NONE;NONE
1400;land;23;91;48;NONE;NONE
1401;land;213;192;194;NONE;BRU
1402;land;48;116;52;NONE;NONE
1403;land;231;99;134;NONE;NONE
1404;land;202;54;48;NONE;NONE
1405;land;5;87;137;NONE;SER
1406;land;222;12;21;NONE;TIM
1407;land;170;148;247;NONE;NONE
1408;land;26;93;72;NONE;NOR
1409;land;235;144;87;NONE;MNG
1410;land;92;40;81;NONE;TUR
1411;land;167;197;1;NONE;NONE
1412;land;203;56;64;NONE;NONE
1413;land;84;245;185;NONE;MNG
1414;land;125;203;72;NONE;ENG
1415;land;124;82;69;NONE;NONE
1416;land;6;144;25;NONE;NONE
1417;land;117;32;54;NONE;NONE
1418;land;132;152;122;NONE;JAP
1419;land;170;214;253;NONE;MNG
1420;land;79;24;80;NONE;MNG
1421;land;39;246;204;NONE;NONE
1422;land;238;74;100;NONE;LIT
1423;land;74;128;137;NONE;CAS
1424;land;167;46;207;NONE;SLZ
1425;land;38;83;202;NONE;NONE
1426;land;176;230;113;NONE;FRA
1427;land;146;57;190;NONE;NONE
1428;land;149;222;218;NONE;MNG
1429;land;167;187;62;NONE;TIM
1430;land;43;2;87;NONE;NONE
1431;land;16;206;233;NONE;PRO
1432;land;9;239;232;NONE;NONE
1433;land;123;15;242;NONE;NONE
1434;land;169;11;119;NONE;KHA
1435;land;26;121;249;NONE;KHA
1436;land;16;8;108;NONE;NOR
1437;land;44;1;231;NONE;NONE
1438;land;22;240;47;NONE;NONE
1439;land;139;155;237;NONE;NONE
1440;land;30;211;162;NONE;NOG
1441;land;22;160;77;NONE;NONE
1442;land;81;159;129;NONE;NONE
1443;land;123;209;46;NONE;FRA
1444;land;156;44;191;NONE;NONE
1445;land;105;44;209;NONE;TUR
1446;land;179;192;170;NONE;MNG
1447;land;73;13;218;NONE;NONE
1448;land;12;91;74;NONE;MOS
1449;land;79;29;47;NONE;NONE
1450;land;9;95;40;NONE;TIB
1451;land;103;193;18;NONE;NOR
1452;land;48;65;218;NONE;MNG
1453;land;155;163;225;NONE;KHA
1454;land;188;30;95;NONE;TIM
1455;land;158;11;112;NONE;TUR
1456;land;66;67;186;NONE;NONE
1457;land;68;87;6;NONE;AZT
1458;land;241;19;240;NONE;AZT
1459;land;70;128;180;NONE;MNG
1460;land;195;122;196;NONE;NONE
1461;land;247;32;29;NONE;NONE
1462;land;65;242;138;NONE;MAG
1463;land;51;48;211;NONE;KHA
1464;land;83;73;134;NONE;GOL
1465;land;59;140;77;NONE;MNG
1466;land;43;73;242;NONE;NONE
1467;land;151;82;170;NONE;INC
1468;land;165;110;173;NONE;MOS
1469;land;37;33;21;NONE;NONE
1470;land;73;173;11;NONE;SWE
1471;land;176;252;185;NONE;DLI
1472;land;238;157;4;NONE;NONE
1473;land;129;231;105;NONE;ENG
1474;land;248;24;71;NONE;NONE
1475;land;132;67;51;NONE;NONE
1476;land;234;144;254;NONE;TIB
1477;land;131;153;38;NONE;EPI
1478;land;91;178;139;NONE;GEO
1479;land;230;188;54;NONE;DLI
1480;land;79;237;226;NONE;NONE
1481;land;191;159;207;NONE;SWE
1482;land;246;87;235;NONE;DLI
1483;land;116;68;163;NONE;NONE
1484;land;138;223;18;NONE;NONE
1485;land;145;27;167;NONE;NONE
1486;land;45;74;5;NONE;LIT
1487;land;70;193;148;NONE;NONE
1488;land;73;70;127;NONE;NONE
1489;land;64;34;177;NONE;LIV
1490;land;79;56;171;NONE;NONE
1491;land;145;5;157;NONE;NONE
1492;land;204;230;122;NONE;MOS
1493;land;134;59;133;NONE;NONE
1494;land;123;175;21;NONE;TIM
1495;land;166;104;191;NONE;LIT
1496;land;96;150;99;NONE;TIM
1497;land;215;187;74;NONE;NONE
1498;land;44;13;117;NONE;DLI
1499;land;123;211;40;NONE;TIB
1500;land;26;14;206;NONE;SIE
1501;land;249;41;108;NONE;NONE
1502;land;31;165;147;NONE;NONE
1503;land;55;236;117;NONE;POL
1504;land;196;149;168;NONE;INC
1505;land;158;243;82;NONE;NONE
1506;land;86;20;70;NONE;NONE
1507;land;155;214;143;NONE;NONE
1508;land;87;49;2;NONE;NONE
1509;land;23;49;74;NONE;NONE
1510;land;252;130;158;NONE;NONE
1511;land;38;48;133;NONE;NONE
1512;land;239;212;72;NONE;GEO
1513;land;255;94;161;NONE;NONE
1514;land;94;134;66;NONE;NONE
1515;land;1;147;124;NONE;LIT
1516;land;113;35;204;NONE;NONE
1517;land;138;61;160;NONE;FRA
1518;land;87;82;52;NONE;NONE
1519;land;95;0;106;NONE;KHA
1520;land;26;183;75;NONE;INC
1521;land;109;121;86;NONE;NONE
1522;land;174;182;114;NONE;NONE
1523;land;113;139;28;NONE;TFL
1524;land;155;136;230;NONE;LIT
1525;land;35;152;244;NONE;NONE
1526;land;20;21;158;NONE;TUR
